fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2022-23,326,Treasury Board Secretariat,S,Spending of proceeds from the disposal of surplus Crown assets,14843,
FY 2022-23,333,Veterans Review and Appeal Board,1,Operating/Program,13765694,12153646
FY 2022-23,333,Veterans Review and Appeal Board,S,Contributions to employee benefit plans,1466535,1466535
FY 2022-23,334,VIA Rail Canada Inc.,1,Payments to Crown Corps,1096370797,689627801
FY 2022-23,339,Windsor-Detroit Bridge Authority,1,Payments to Crown Corps,1106494000,793291043
FY 2022-23,345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,1,Operating/Program,3580491,2650347
FY 2022-23,345,Secretariat of the National Security and Intelligence Committee of Parliamentarians,S,Contributions to employee benefit plans,201031,201031
FY 2022-23,346,Office of the Parliamentary Budget Officer,1,Operating/Program,6650891,5855876
FY 2022-23,346,Office of the Parliamentary Budget Officer,S,Contributions to employee benefit plans,640054,640054
FY 2022-23,347,Invest in Canada Hub,1,Operating/Program,35309034,33024123
FY 2022-23,348,Department of Indigenous Services,1,Operating/Program,25989925907,4748340722
FY 2022-23,348,Department of Indigenous Services,10,Grants & Contributions,18697342741,17672587165
FY 2022-23,348,Department of Indigenous Services,5,Capital,11053310,3474448
FY 2022-23,348,Department of Indigenous Services,S,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),31033390,31033390
FY 2022-23,348,Department of Indigenous Services,S,Contributions to employee benefit plans,95370740,95370740
FY 2022-23,348,Department of Indigenous Services,S,Court Awards,821700,821700
FY 2022-23,348,Department of Indigenous Services,S,Indian Annuities Treaty payments,3250421,3250421
FY 2022-23,348,Department of Indigenous Services,S,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,32490796,
FY 2022-23,348,Department of Indigenous Services,S,Refunds of amounts credited to revenues in previous years,1390,1390
FY 2022-23,348,Department of Indigenous Services,S,Salary and Motor Car Allowance,92400,92400
FY 2022-23,348,Department of Indigenous Services,S,Spending of proceeds from the disposal of surplus Crown assets,1775103,1389902
FY 2022-23,350,Leaders' Debates Commission,1,Operating/Program,737614,647549
FY 2022-23,350,Leaders' Debates Commission,S,Contributions to employee benefit plans,51815,51815
FY 2022-23,539,Administrative Tribunals Support Service of Canada,1,Operating/Program,72920325,70734220
FY 2022-23,539,Administrative Tribunals Support Service of Canada,S,Contributions to employee benefit plans,11861206,11861206
FY 2022-23,539,Administrative Tribunals Support Service of Canada,S,Spending of proceeds from the disposal of surplus Crown assets,1250,
FY 2022-23,552,Canadian High Arctic Research Station,1,Operating/Program,34265682,32738001
FY 2022-23,552,Canadian High Arctic Research Station,S,Contributions to employee benefit plans,1396919,1396919
FY 2022-23,552,Canadian High Arctic Research Station,S,Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act,901311,
FY 2022-23,554,Parliamentary Protective Service,1,Operating/Program,94415833,90978341
FY 2022-23,554,Parliamentary Protective Service,S,Contributions to employee benefit plans,10633773,10633773
FY 2022-23,558,Canadian Accessibility Standards Development Organization,1,Operating/Program,12286516,9775776
FY 2022-23,558,Canadian Accessibility Standards Development Organization,5,Grants & Contributions,8500000,8498175
FY 2022-23,558,Canadian Accessibility Standards Development Organization,S,Contributions to employee benefit plans,792650,792650
FY 2022-23,560,Pacific Economic Development Agency of Canada,1,Operating/Program,29568144,25137220
FY 2022-23,560,Pacific Economic Development Agency of Canada,5,Grants & Contributions,330893750,194740016
FY 2022-23,560,Pacific Economic Development Agency of Canada,S,Collection Agency Fees,2582,2582
FY 2022-23,560,Pacific Economic Development Agency of Canada,S,Contributions to employee benefit plans,2203229,2203229
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,1,Operating/Program,14560768,12955734
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,5,Capital,119218074,117737927
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,S,Contributions to employee benefit plans,1384205,1384205
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,S,Spending of proceeds from the disposal of surplus Crown assets,1260,
FY 2023-24,,VIA HFR - VIA TGF Inc.,1,Payments to Crown Corps,51670000,49503355
FY 2023-24,1,Department of Agriculture and Agri-Food,1,Operating/Program,748112581,740474306
FY 2023-24,1,Department of Agriculture and Agri-Food,10,Grants & Contributions,889684110,780757199
FY 2023-24,1,Department of Agriculture and Agri-Food,5,Capital,66488430,59407495
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Canadian Pari-Mutuel Agency Revolving Fund,9952775,1266966
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contribution payments for the AgriInsurance program,1210265388,1210265388
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,179032366.7,179032366.7
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-8778.95,-8778.95
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),2053318.96,2053318.96
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contributions in support of the Assistance to the Pork Industry Initiative,-4029126.57,-4029126.57
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Contributions to employee benefit plans,77527804.73,77527804.73
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriInvest Program,187734241.3,187734241.3
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grant and Contribution Payments for the AgriStability Program,483942912.9,483942912.9
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative,-8674.63,-8674.63
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),294073717.8,294073717.8
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grants in support of the Grain and Oilseed Payment program,-1155.97,-1155.97
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Grants to agencies established under the Farm Products Agencies Act,600000,
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Loan guarantees under the Canadian Agricultural Loans Act,383466.11,383466.11
FY 2023-24,1,Department of Agriculture and Agri-Food,S,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)",143080375,143080375
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Salary and Motor Car Allowance,94800,94800
FY 2023-24,1,Department of Agriculture and Agri-Food,S,Spending of proceeds from the disposal of surplus Crown assets,14018933,7394778
FY 2023-24,2,House of Commons,1,Operating/Program,464200444,433835199
FY 2023-24,2,House of Commons,S,Contributions to employee benefit plans,48204558.66,48204558.66
FY 2023-24,2,House of Commons,S,"Members of the House of Commons – Contributions to the Members of Parliament Retiring Allowances account and the Members of Parliament Retirement Compensation Arrangements account, under the Members of Parliament Retiring Allowances Act",46704511,46704511
FY 2023-24,2,House of Commons,S,"Members of the House of Commons – Salaries and allowances of Officers and Members of the House of Commons, under the Parliament of Canada Act",109172403,109172403
FY 2023-24,12,Atlantic Canada Opportunities Agency,1,Operating/Program,79090735,72151912
FY 2023-24,12,Atlantic Canada Opportunities Agency,5,Grants & Contributions,437992095,396798949
FY 2023-24,12,Atlantic Canada Opportunities Agency,S,Contributions to employee benefit plans,9479058.12,9479058.12
FY 2023-24,12,Atlantic Canada Opportunities Agency,S,Salary and Motor Car Allowance,666.68,666.68
FY 2023-24,12,Atlantic Canada Opportunities Agency,S,Spending of proceeds from the disposal of surplus Crown assets,89264,
FY 2023-24,14,Atomic Energy of Canada Limited,1,Payments to Crown Corps,1547315307,1344720000
FY 2023-24,26,Canada Border Services Agency,1,Operating/Program,2532481903,2303413749
FY 2023-24,26,Canada Border Services Agency,5,Capital,266525296,127867879
FY 2023-24,26,Canada Border Services Agency,S,Contributions to employee benefit plans,261550544.9,261550544.9
FY 2023-24,26,Canada Border Services Agency,S,Refunds of amounts credited to revenues in previous years,31061.43,31061.43
FY 2023-24,26,Canada Border Services Agency,S,Spending of proceeds from the disposal of surplus Crown assets,1546800,1047918
FY 2023-24,29,Canada Council for the Arts,1,Payments to Crown Corps,369463611,369338611
FY 2023-24,42,Canada Mortgage and Housing Corporation,1,Payments to Crown Corps,6572172963,5491113368
FY 2023-24,42,Canada Mortgage and Housing Corporation,S,Payment for a one-time rental housing benefit and the administration and enforcement of the Rental Housing Benefit Act,-60842882,-60842882
FY 2023-24,44,Canada Post Corporation,1,Payments to Crown Corps,22210000,22210000
FY 2023-24,46,Canada Revenue Agency,1,Operating/Program,5957785807,5359496028
FY 2023-24,46,Canada Revenue Agency,5,Capital,157683155,105076320
FY 2023-24,46,Canada Revenue Agency,S,Children's special allowance payments,390060074.5,390060074.5
FY 2023-24,46,Canada Revenue Agency,S,Contributions to employee benefit plans,771547033.7,771547033.7
FY 2023-24,46,Canada Revenue Agency,S,Court Awards,1000,1000
FY 2023-24,46,Canada Revenue Agency,S,Court Awards,12425233.11,12425233.11
FY 2023-24,46,Canada Revenue Agency,S,Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act,9599733794,9599733794
FY 2023-24,46,Canada Revenue Agency,S,Distribution of fuel charges (to farming businesses) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 127.42 of the Income Tax Act,131522661.7,131522661.7
FY 2023-24,46,Canada Revenue Agency,S,Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act,51362365.23,51362365.23
FY 2023-24,46,Canada Revenue Agency,S,Losses on Foreign Exchange,4494.75,4494.75
FY 2023-24,46,Canada Revenue Agency,S,Refunds of amounts credited to revenues in previous years,79427.99,79427.99
FY 2023-24,46,Canada Revenue Agency,S,Salary and Motor Car Allowance,93525.81,93525.81
FY 2023-24,46,Canada Revenue Agency,S,Spending of proceeds from the disposal of surplus Crown assets,128881.46,128881.46
FY 2023-24,46,Canada Revenue Agency,S,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,380399170.2,380399170.2
FY 2023-24,47,Canada School of Public Service,1,Operating/Program,75589386,73086025
FY 2023-24,47,Canada School of Public Service,S,Contributions to employee benefit plans,10856840.97,10856840.97
FY 2023-24,47,Canada School of Public Service,S,Spending of proceeds from the disposal of surplus Crown assets,7920,1960
FY 2023-24,47,Canada School of Public Service,S,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,19258931,10832336
FY 2023-24,51,Canadian Air Transport Security Authority,1,Payments to Crown Corps,1074515043,971162874
FY 2023-24,53,Canadian Broadcasting Corporation,1,Payments to Crown Corps,1340238531,1340113531
FY 2023-24,53,Canadian Broadcasting Corporation,10,Payments to Crown Corps,110046000,110046000
FY 2023-24,53,Canadian Broadcasting Corporation,5,Payments to Crown Corps,4000000,4000000
FY 2023-24,55,Canadian Centre for Occupational Health and Safety,1,Operating/Program,7086335,6389195
