"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2023-24","Department of Finance","Supplementary Estimates A","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",45213000
"FY 2023-24","Department of Finance","Supplementary Estimates A","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",9207510
"FY 2023-24","Department of Finance","Supplementary Estimates A","Purchase of Domestic Coinage",-1000000
"FY 2023-24","Department of Indigenous Services","Supplementary Estimates A","Contributions to employee benefit plans",3589866
"FY 2023-24","Department of Justice","Supplementary Estimates A","Contributions to employee benefit plans",849930
"FY 2023-24","Department of Natural Resources","Supplementary Estimates A","Contributions to employee benefit plans",4682695
"FY 2023-24","Department of Public Works and Government Services","Supplementary Estimates A","Contributions to employee benefit plans",77029201
"FY 2023-24","Natural Sciences and Engineering Research Council","Supplementary Estimates A","Contributions to employee benefit plans",172867
"FY 2023-24","Royal Canadian Mounted Police","Supplementary Estimates A","Contributions to employee benefit plans",1297305
"FY 2023-24","Royal Canadian Mounted Police","Supplementary Estimates A","Pensions and other employee benefits - Members of the Force",670080
"FY 2023-24","Social Sciences and Humanities Research Council","Supplementary Estimates A","Contributions to employee benefit plans",238259
"FY 2023-24","Statistics Canada","Supplementary Estimates A","Contributions to employee benefit plans",14562573
"FY 2023-24","Atlantic Canada Opportunities Agency","Supplementary Estimates B","Contributions to employee benefit plans",55187
"FY 2023-24","Canada Border Services Agency","Supplementary Estimates B","Contributions to employee benefit plans",4084693
"FY 2023-24","Canada Mortgage and Housing Corporation","Supplementary Estimates B","Payment for a one-time rental housing benefit and the administration and enforcement of the Rental Housing Benefit Act",-14000000
"FY 2023-24","Canada Revenue Agency","Supplementary Estimates B","Distribution of fuel charges (to farming businesses) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 127.42 of the Income Tax Act",165000000
"FY 2023-24","Canada Revenue Agency","Supplementary Estimates B","Distribution of fuel charges (to provinces and territories) under sections 165 of the Greenhouse Gas Pollution Pricing Act",-1000000
"FY 2023-24","Canada Revenue Agency","Supplementary Estimates B","Distribution of fuel charges (Canada Carbon Rebate) under section 165 of the Greenhouse Gas Pollution Pricing Act and section 122.8 of the Income Tax Act",425000000
"FY 2023-24","Canada Revenue Agency","Supplementary Estimates B","Contributions to employee benefit plans",1284032
"FY 2023-24","Canadian Food Inspection Agency","Supplementary Estimates B","Contributions to employee benefit plans",3498359
"FY 2023-24","Canadian Intergovernmental Conference Secretariat","Supplementary Estimates B","Contributions to employee benefit plans",173950
"FY 2023-24","Canadian Northern Economic Development Agency","Supplementary Estimates B","Contributions to employee benefit plans",114642
"FY 2023-24","Canadian Security Intelligence Service","Supplementary Estimates B","Contributions to employee benefit plans",158770
"FY 2023-24","Canadian Transportation Accident Investigation and Safety Board","Supplementary Estimates B","Contributions to employee benefit plans",608986
"FY 2023-24","Communications Security Establishment","Supplementary Estimates B","Contributions to employee benefit plans",2372531
"FY 2023-24","Correctional Service of Canada","Supplementary Estimates B","Contributions to employee benefit plans",13298321
"FY 2023-24","Courts Administration Service","Supplementary Estimates B","Contributions to employee benefit plans",1071974
"FY 2023-24","Department for Women and Gender Equality","Supplementary Estimates B","Contributions to employee benefit plans",205130
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates B","Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act)",300000000
"FY 2023-24","Department of Agriculture and Agri-Food","Supplementary Estimates B","Contributions to employee benefit plans",1065066
"FY 2023-24","Department of Canadian Heritage","Supplementary Estimates B","Contributions to employee benefit plans",2255947
"FY 2023-24","Department of Citizenship and Immigration","Supplementary Estimates B","Contributions to employee benefit plans",17543201
"FY 2023-24","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates B","Contributions to employee benefit plans",308394
"FY 2023-24","Department of Employment and Social Development","Supplementary Estimates B","Contributions to employee benefit plans",7508981
"FY 2023-24","Department of Finance","Supplementary Estimates B","Payment to Newfoundland and Labrador related to the Hibernia Dividend Backed Annuity Agreement (Section 200 - Budget Implementation Act, 2021, No. 1)",156850000
"FY 2023-24","Department of Finance","Supplementary Estimates B","Payments related to Canada health transfer",2000000000
"FY 2023-24","Department of Finance","Supplementary Estimates B","Contributions to employee benefit plans",557359
"FY 2023-24","Department of Fisheries and Oceans","Supplementary Estimates B","Contributions to employee benefit plans",15920898
"FY 2023-24","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Contributions to employee benefit plans",7039834
"FY 2023-24","Department of Health","Supplementary Estimates B","Payments for dental benefits pursuant to the Dental Benefit Act",339100000
"FY 2023-24","Department of Health","Supplementary Estimates B","Contributions to employee benefit plans",8102391
"FY 2023-24","Department of Housing, Infrastructure and Communities","Supplementary Estimates B","Contributions to employee benefit plans",2913230
"FY 2023-24","Department of Indigenous Services","Supplementary Estimates B","Contributions to employee benefit plans",857763
"FY 2023-24","Department of Industry","Supplementary Estimates B","CIFAR - Pan Canadian Artificial Intelligence",1080560
"FY 2023-24","Department of Industry","Supplementary Estimates B","Contributions to employee benefit plans",93234
"FY 2023-24","Department of Industry","Supplementary Estimates B","Canadian Intellectual Property Office Revolving Fund",21211776
"FY 2023-24","Department of National Defence","Supplementary Estimates B","Contributions to employee benefit plans",299170
"FY 2023-24","Department of National Defence","Supplementary Estimates B","Contributions to employee benefit plans (Members of the Military)",171844916
"FY 2023-24","Department of Natural Resources","Supplementary Estimates B","Contributions to employee benefit plans",4558679
"FY 2023-24","Department of Public Safety and Emergency Preparedness","Supplementary Estimates B","Contributions to employee benefit plans",1940407
"FY 2023-24","Department of Public Works and Government Services","Supplementary Estimates B","Contributions to employee benefit plans",2721217
"FY 2023-24","Department of Transport","Supplementary Estimates B","Contributions to employee benefit plans",15329840
"FY 2023-24","Department of Veterans Affairs","Supplementary Estimates B","Contributions to employee benefit plans",4796030
"FY 2023-24","Department of Western Economic Diversification","Supplementary Estimates B","Contributions to employee benefit plans",132600
"FY 2023-24","Department of the Environment","Supplementary Estimates B","Distribution of revenues from fuel charge payments pursuant to section 165 (2) of the Greenhouse Gas Pollution Pricing Act",2498900
"FY 2023-24","Department of the Environment","Supplementary Estimates B","Distribution of revenues from excess emissions charge payments under the Output-Based Pricing System pursuant to section 188 of the Greenhouse Gas Pollution Pricing Act",152893579
"FY 2023-24","Department of the Environment","Supplementary Estimates B","Contributions to employee benefit plans",18458674
"FY 2023-24","Economic Development Agency of Canada for the Regions of Quebec","Supplementary Estimates B","Contributions to employee benefit plans",233418
"FY 2023-24","Federal Economic Development Agency for Northern Ontario","Supplementary Estimates B","Contributions to employee benefit plans",45527
"FY 2023-24","Federal Economic Development Agency for Southern Ontario","Supplementary Estimates B","Contributions to employee benefit plans",216557
"FY 2023-24","National Research Council of Canada","Supplementary Estimates B","Contributions to employee benefit plans",1758195
"FY 2023-24","Natural Sciences and Engineering Research Council","Supplementary Estimates B","Contributions to employee benefit plans",234658
"FY 2023-24","Office of the Commissioner of Lobbying","Supplementary Estimates B","Contributions to employee benefit plans",61866
"FY 2023-24","Office of the Correctional Investigator of Canada","Supplementary Estimates B","Contributions to employee benefit plans",144015
